InstructionName;PdfRelativePath;;"USE IF;
GO

IF OBJECT_ID('dbo.Instructions', 'U') IS NULL
BEGIN
    CREATE TABLE dbo.Instructions
    (
        InstructionID INT IDENTITY(1,1) NOT NULL,
        InstructionName NVARCHAR(200) NOT NULL,
        PdfRelativePath NVARCHAR(500) NULL,

        CONSTRAINT PK_Instructions PRIMARY KEY (InstructionID)
    );
END"
Obróbka cieplna wałków kardana OMM i OML program 27 piece Seco;OMM-S-50-DW0217-AZ-22283;"INSERT INTO dbo.Instructions (InstructionName, PdfRelativePath) VALUES (N'Obróbka cieplna wałków kardana OMM i OML program 27 piece Seco', N'OMM-S-50-DW0217-AZ-22283');";"INSERT INTO dbo.Instructions (InstructionName, PdfRelativePath) VALUES (N'Obróbka cieplna wałków kardana OMM i OML program 27 piece Seco', N'OMM-S-50-DW0217-AZ-22283');"
Obróbka cieplna wałków kardana - program 28 piece Seco;ALL-S-50-DW0217-AZ-22279;"INSERT INTO dbo.Instructions (InstructionName, PdfRelativePath) VALUES (N'Obróbka cieplna wałków kardana - program 28 piece Seco', N'ALL-S-50-DW0217-AZ-22279');";"INSERT INTO dbo.Instructions (InstructionName, PdfRelativePath) VALUES (N'Obróbka cieplna wałków kardana - program 28 piece Seco', N'ALL-S-50-DW0217-AZ-22279');"
Obróbka wibrościerna sworzni;ALL-Y-30-DW0569-AZ-22278;"INSERT INTO dbo.Instructions (InstructionName, PdfRelativePath) VALUES (N'Obróbka wibrościerna sworzni', N'ALL-Y-30-DW0569-AZ-22278');";"INSERT INTO dbo.Instructions (InstructionName, PdfRelativePath) VALUES (N'Obróbka wibrościerna sworzni', N'ALL-Y-30-DW0569-AZ-22278');"
Gratowanie termiczne wałków motorowych OMS;OMS-A-40-DW01424-AZ-22265;"INSERT INTO dbo.Instructions (InstructionName, PdfRelativePath) VALUES (N'Gratowanie termiczne wałków motorowych OMS', N'OMS-A-40-DW01424-AZ-22265');";"INSERT INTO dbo.Instructions (InstructionName, PdfRelativePath) VALUES (N'Gratowanie termiczne wałków motorowych OMS', N'OMS-A-40-DW01424-AZ-22265');"
Gratowanie termiczne wałków motorowych ;OMR-A-40-DW1424-AZ-22398;"INSERT INTO dbo.Instructions (InstructionName, PdfRelativePath) VALUES (N'Gratowanie termiczne wałków motorowych ', N'OMR-A-40-DW1424-AZ-22398');";"INSERT INTO dbo.Instructions (InstructionName, PdfRelativePath) VALUES (N'Gratowanie termiczne wałków motorowych ', N'OMR-A-40-DW1424-AZ-22398');"
Gratowanie termiczne wałka rozrządczego  LAG;LAG-A-40-DW1424-AZ-22397;"INSERT INTO dbo.Instructions (InstructionName, PdfRelativePath) VALUES (N'Gratowanie termiczne wałka rozrządczego  LAG', N'LAG-A-40-DW1424-AZ-22397');";"INSERT INTO dbo.Instructions (InstructionName, PdfRelativePath) VALUES (N'Gratowanie termiczne wałka rozrządczego  LAG', N'LAG-A-40-DW1424-AZ-22397');"
Gratowanie termiczne tulejki PCH;LAG-A-60-DW0433-AZ-22396;"INSERT INTO dbo.Instructions (InstructionName, PdfRelativePath) VALUES (N'Gratowanie termiczne tulejki PCH', N'LAG-A-60-DW0433-AZ-22396');";"INSERT INTO dbo.Instructions (InstructionName, PdfRelativePath) VALUES (N'Gratowanie termiczne tulejki PCH', N'LAG-A-60-DW0433-AZ-22396');"
Gratowanie termiczne wałka rozrządczego  PCH;LAG-A-60-DW0433-AZ-22395;"INSERT INTO dbo.Instructions (InstructionName, PdfRelativePath) VALUES (N'Gratowanie termiczne wałka rozrządczego  PCH', N'LAG-A-60-DW0433-AZ-22395');";"INSERT INTO dbo.Instructions (InstructionName, PdfRelativePath) VALUES (N'Gratowanie termiczne wałka rozrządczego  PCH', N'LAG-A-60-DW0433-AZ-22395');"
Gratowanie termiczne tulei LAG;LAG-A-40-DW1424-AZ-22394;"INSERT INTO dbo.Instructions (InstructionName, PdfRelativePath) VALUES (N'Gratowanie termiczne tulei LAG', N'LAG-A-40-DW1424-AZ-22394');";"INSERT INTO dbo.Instructions (InstructionName, PdfRelativePath) VALUES (N'Gratowanie termiczne tulei LAG', N'LAG-A-40-DW1424-AZ-22394');"
